id,name,display_name,production_year,movie_sequel,creative_type,source,production_method,genre,language,movie_board_rating_display_name,movie_release_pattern_display_name,total,Category
7950115,Avatar,Avatar,2009,1,8,14,1,1,3,5,7,2784,9
50950115,Harry Potter and the Deathly Hallows: Part II,Harry Potter and the Deathly Hallows: Part II,2011,2,4,3,1,2,3,5,7,1328,9
119870115,Transformers 3,Transformers: Dark of the Moon,2011,2,8,12,1,1,3,5,7,1124,9
119590115,Toy Story 3,Toy Story 3,2010,2,6,14,2,2,3,1,7,1064,9
91700115,Pirates of the Caribbean 4,Pirates of the Caribbean: On Stranger Tides,2011,2,4,10,4,2,3,5,7,1044,9
3480115,Alice in Wonderland (2010),Alice in Wonderland,2010,1,4,3,1,2,3,4,7,1024,9
27870115,"Dark Knight, The",The Dark Knight,2008,2,9,1,4,1,3,5,7,1003,9
91710115,Pirates of the Caribbean: At Worlds End,Pirates of the Caribbean: At World's End,2007,2,5,10,4,2,3,5,7,961,9
50940115,Harry Potter and the Deathly Hallows: Part I,Harry Potter and the Deathly Hallows: Part I,2010,2,4,3,1,2,3,5,7,956,9
50990115,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix,2007,2,4,3,1,2,3,5,7,943,9
50980115,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,2009,2,4,3,1,2,3,4,7,934,9
109870115,Spider-Man 3,Spider-Man 3,2007,2,9,1,4,2,3,5,7,891,9
56810115,Ice Age: Dawn of the Dinosaurs,Ice Age: Dawn of the Dinosaurs,2009,2,6,14,2,2,3,4,7,887,9
119890115,Transformers: Revenge of the Fallen,Transformers: Revenge of the Fallen,2009,2,8,12,1,1,3,5,7,837,9
58150115,Inception,Inception,2010,1,8,14,1,12,3,5,7,833,9
105940115,Shrek the Third,Shrek the Third,2007,2,6,3,2,2,3,4,7,799,9
58390115,Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and the Kingdom of the Crystal Skull,2008,2,5,14,4,2,3,5,7,787,9
640115,2012,2012,2009,1,8,14,4,1,3,5,7,767,9
105920115,Shrek Goes Fourth,Shrek Forever After,2010,2,6,3,2,2,3,4,7,753,9
123280115,Up,Up,2009,1,4,14,2,2,3,4,7,732,8
83180115,New Moon,The Twilight Saga: New Moon,2009,2,4,3,4,7,3,5,7,710,8
136010115,Twilight Saga Breaking Dawn Part 1 The,"The Twilight Saga: Breaking Dawn, Part 1",2011,2,4,3,4,7,3,5,7,710,8
119880115,"Transformers, The",Transformers,2007,1,8,12,1,1,3,5,7,708,8
154440115,Mission Impossible IV,Mission: Impossible - Ghost Protocol,2011,2,1,14,4,1,3,5,2,695,8
34530115,Eclipse,The Twilight Saga: Eclipse,2010,2,4,3,4,7,3,5,7,693,8
65380115,Kung Fu Panda 2,Kung Fu Panda 2,2011,2,6,14,2,2,3,4,7,665,8
142870115,Hunger Games The,The Hunger Games,2011,1,8,3,4,12,3,5,7,658,8
65370115,Kung Fu Panda,Kung Fu Panda,2008,1,6,14,2,2,3,4,7,632,8
135280115,Fast Five,Fast Five,2011,2,1,2,4,1,3,5,7,629,8
140990115,Men in Black 3,Men in Black 3,2011,2,8,1,1,1,3,5,7,625,8
59530115,Iron Man 2,Iron Man 2,2010,2,9,1,4,2,3,5,7,624,8
50030115,Hancock,Hancock,2008,1,9,14,4,1,3,5,7,624,8
96520115,Ratatouille,Ratatouille,2007,1,6,14,2,4,3,1,7,620,8
73460115,Mamma Mia,Mamma Mia!,2008,1,1,6,4,10,3,5,7,603,8
72610115,Madagascar: Escape 2 Africa,Madagascar: Escape 2 Africa,2008,2,6,14,2,4,3,4,7,600,8
95320115,Quantum of Solace,Quantum of Solace,2008,2,1,3,4,1,3,5,7,592,8
145910115,Tangled,Tangled,2010,1,6,4,2,2,3,4,7,587,8
50170115,"Hangover 2, The",The Hangover Part II,2011,2,1,14,4,4,3,6,7,586,8
56130115,I am Legend,I am Legend,2007,1,8,3,4,8,3,5,7,585,8
59520115,Iron Man,Iron Man,2008,1,9,1,4,1,3,5,7,582,8
108020115,"Smurfs, The",The Smurfs,2011,1,6,12,1,2,3,4,7,563,8
19500115,Cars 2,Cars 2,2011,2,6,14,2,2,3,1,7,560,8
95190115,Puss in Boots,Puss in Boots,2011,1,6,16,2,2,3,4,7,555,8
30200115,Despicable Me,Despicable Me,2010,1,6,14,2,4,3,4,7,543,8
139790115,Sherlock Holmes 2,Sherlock Holmes: A Game of Shadows,2011,2,5,3,4,1,3,5,7,534,8
125550115,WALL-E,WALL-E,2008,1,8,14,2,2,3,1,7,533,8
106640115,"Simpsons Movie, The",The Simpsons Movie,2007,1,1,12,2,4,3,5,7,527,8
105190115,Sherlock Holmes,Sherlock Holmes,2009,1,5,3,4,2,3,5,7,524,8
147320115,Ted,Ted,2011,1,1,14,1,4,3,6,7,504,8
55440115,How to Train Your Dragon,How to Train Your Dragon,2010,1,4,3,2,4,3,4,7,495,8
22600115,Clash of the Titans (2010),Clash of the Titans,2010,1,4,15,4,1,3,5,7,493,8
5780115,Angels and Demons,Angels & Demons,2009,2,1,3,4,12,3,5,7,491,8
98800115,Rio,Rio,2011,1,6,14,2,2,3,4,7,488,8
136740115,Rise of the Apes,Rise of the Planet of the Apes,2011,1,8,15,1,2,3,5,7,483,8
50160115,Hangover,The Hangover,2009,1,1,14,4,4,3,6,7,470,8
82580115,National Treasure: The Book of Secrets,National Treasure: The Book of Secrets,2007,2,1,14,4,2,3,4,7,457,8
980115,300,300,2007,1,5,1,1,1,3,6,7,456,8
117380115,Thor,Thor,2011,1,9,1,4,1,3,5,7,449,7
4240115,Alvin and the Chipmunks 2,Alvin and the Chipmunks: The Squeakquel,2009,2,6,12,1,4,3,4,7,443,7
15550115,"Bourne Ultimatum, The",The Bourne Ultimatum,2007,2,1,3,4,12,3,5,7,442,7
139360115,Kings Speech The,The King's Speech,2010,1,2,14,4,7,3,6,2,427,7
160300115,Intouchables Les,Les Intouchables,2011,1,1,14,4,4,5,6,4,421,7
21920115,"Chronicles of Narnia: Prince Caspian, The",The Chronicles of Narnia: Prince Caspian,2008,2,4,3,1,2,3,4,7,419,7
21940115,"Chronicles of Narnia: The Voyage of the Dawn Treader, The",The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,2,4,3,1,2,3,4,7,418,7
104250115,Sex and the City,Sex and the City,2008,1,1,12,4,4,3,6,7,415,7
83610115,Night at the Museum 2: Escape from the Smithsonian,Night at the Museum: Battle of the Smithsonian,2009,2,4,3,4,4,3,4,7,413,7
148320115,Snow White and the Huntsman,Snow White and the Huntsman,2011,1,4,4,4,2,3,5,7,401,7
149710115,Prometheous,Prometheus,2011,1,8,14,4,8,3,6,7,399,7
121470115,Twilight (2008),Twilight,2008,1,4,3,4,7,3,5,7,398,7
120620115,Tron: Legacy,Tron: Legacy,2010,2,8,14,4,2,3,4,7,398,7
80460115,"Mummy: Tomb of the Dragon Emperor, The",The Mummy: Tomb of the Dragon Emperor,2008,2,4,15,4,2,3,5,7,398,7
68730115,Life of Pi,Life of Pi,2011,1,4,3,4,7,3,4,7,394,7
110700115,Star Trek XI,Star Trek,2009,2,8,12,4,2,3,5,7,386,7
69790115,Live Free or Die Hard,Live Free or Die Hard,2007,2,1,3,4,1,3,5,7,384,7
78960115,Monsters vs. Aliens,Monsters vs. Aliens,2009,1,6,1,2,2,3,4,7,382,7
107740115,Slumdog Millionaire,Slumdog Millionaire,2008,1,1,14,4,7,3,6,4,376,7
130450115,X-Men Origins: Wolverine,X-Men Origins: Wolverine,2009,1,9,16,4,1,3,5,7,375,7
2490115,Adventures of Tintin: Secret of the Unicorn,The Adventures of Tintin,2011,1,1,1,2,2,3,4,7,374,7
116260115,Terminator Salvation: The Future Begins,Terminator Salvation: The Future Begins,2009,2,8,14,4,1,3,5,7,372,7
53280115,His Dark Materials: The Golden Compass,His Dark Materials: The Golden Compass,2007,1,4,3,4,2,3,5,7,372,7
19070115,Captain America,Captain America: The First Avenger,2011,1,9,1,4,1,3,5,7,371,7
144870115,Taken 2,Taken 2,2011,2,1,14,4,12,3,5,7,369,7
38790115,"Fast and the Furious 4, The",Fast & Furious,2009,2,1,2,4,1,3,5,7,363,7
4230115,Alvin and the Chipmunks,Alvin and the Chipmunks,2007,1,6,12,1,4,3,4,7,361,7
65360115,Kung Fu Kid,The Karate Kid,2009,1,1,15,4,2,3,4,7,359,7
140060115,X Men First Class,X-Men: First Class,2011,2,9,1,4,1,3,5,7,355,7
135430115,"Lorax, The",Doctor Seuss' The Lorax,2011,1,6,3,2,2,3,4,7,350,7
125690115,Wanted,Wanted,2008,1,8,1,4,1,3,6,7,343,7
35640115,Enchanted,Enchanted,2007,1,4,14,1,11,3,4,7,340,7
146810115,Alvin and the Chipmunks Chip Wrecked,Alvin and the Chipmunks: Chipwrecked,2011,2,6,12,1,4,3,1,7,337,7
93880115,Prince of Persia: Sands of Time,Prince of Persia: Sands of Time,2010,1,4,5,4,1,3,5,7,335,7
26750115,"Curious Case of Benjamin Button, The",The Curious Case of Benjamin Button,2008,1,4,3,4,7,3,5,7,330,7
136440115,Black Swan,Black Swan,2010,1,1,14,4,12,3,6,4,329,7
21810115,"Christmas Carol, A (2009)",Disney's A Christmas Carol,2009,1,4,15,2,7,3,4,7,324,7
144100115,Megamind,Megamind,2010,1,6,14,2,2,3,4,7,322,7
133300115,Robin Hood (2010),Robin Hood,2010,1,5,4,4,1,3,5,7,322,7
66270115,"Last Airbender, The",The Last Airbender,2010,1,4,12,4,2,3,4,7,320,7
54740115,Hotel Transylvania,Hotel Transylvania,2011,1,6,14,2,4,3,4,7,316,7
58540115,Inglorious Bastards,Inglourious Basterds,2009,1,5,14,4,1,3,6,7,316,7
94550115,"Proposal, The",The Proposal,2009,1,1,14,4,11,3,5,7,315,7
14820115,Bolt,Bolt,2008,1,6,14,2,4,3,4,7,314,7
85830115,Oceans Thirteen,Ocean's Thirteen,2007,2,1,15,4,2,3,5,7,312,7
69440115,Little Fockers,Little Fockers,2010,2,1,14,4,4,3,5,7,311,7
13690115,"Blind Side, The",The Blind Side,2009,1,2,2,4,7,3,5,7,308,7
10210115,Battleship,Battleship,2011,1,1,5,4,1,3,5,7,304,7
44120115,G.I. Joe,G.I. Joe: The Rise of Cobra,2009,1,1,11,1,1,3,5,7,302,7
54500115,Horton Hears a Who,Horton Hears a Who,2008,1,4,3,2,2,3,1,7,297,7
105990115,Shutter Island,Shutter Island,2009,1,5,3,4,12,3,6,7,297,7
101390115,Salt,Salt,2010,1,1,14,4,12,3,5,7,296,7
141330115,Resident Evil Afterlife,Resident Evil: Afterlife 3D ,2010,2,8,5,4,8,3,6,7,296,7
104260115,Sex and the City 2,Sex and the City 2,2010,2,1,12,4,4,3,6,7,295,7
135180115,Bridesmaids,Bridesmaids,2011,1,1,14,4,4,3,6,7,289,7
38510115,Fantastic Four: Rise of the Silver Surfer,Fantastic Four: Rise of the Silver Surfer,2007,2,9,1,4,1,3,4,7,288,7
10770115,Bee Movie,Bee Movie,2007,1,6,14,2,4,3,4,7,288,7
44090115,G-Force,G-Force,2009,1,6,14,1,2,3,4,7,287,7
136670115,John Carter of Mars,John Carter,2011,1,8,3,4,2,3,5,7,281,7
138570115,Tourist The,The Tourist,2010,1,1,14,4,12,3,5,7,279,7
146030115,Bourne Legacy The,The Bourne Legacy,2011,2,1,3,4,12,3,5,7,277,7
48940115,Grown Ups,Grown Ups,2010,1,1,14,4,4,3,5,7,272,6
139710115,Real Steel,Real Steel,2010,1,8,3,4,1,3,5,7,272,6
70115,"10,000 B.C.","10,000 B.C.",2008,1,5,14,4,2,3,5,7,269,6
37340115,"Expendables, The",The Expendables,2010,1,1,14,4,1,3,6,7,268,6
4710115,American Gangster,American Gangster,2007,1,2,2,4,7,3,6,7,266,6
58220115,"Incredible Hulk, The",The Incredible Hulk,2008,2,9,1,4,2,3,5,7,263,6
93940115,"Princess and the Frog, The",The Princess and the Frog,2009,1,6,3,3,2,3,1,2,263,6
47810115,Gran Torino,Gran Torino,2008,1,1,14,4,7,3,6,2,262,6
134900115,Knight and Day,Knight and Day,2010,1,1,14,4,1,3,5,7,262,6
144820115,Super 8,Super 8,2010,1,8,14,4,12,3,5,7,260,6
128520115,Wild Hogs,Wild Hogs,2007,1,1,14,4,4,3,5,7,253,6
100890115,Rush Hour 3,Rush Hour 3,2007,2,1,14,4,1,3,5,7,253,6
120870115,True Grit (2010),True Grit,2010,1,5,3,4,13,3,5,7,252,6
76940115,Michael Jacksons This Is It,Michael Jackson's This Is It,2009,1,3,8,4,6,3,4,7,252,6
53010115,High School Musical 3: Senior Year,High School Musical 3: Senior Year,2008,2,1,12,4,10,3,1,7,251,6
12100115,Bienvenue chez les Ch tis,Bienvenue chez les Ch'tis,2008,1,1,14,4,4,3,3,7,247,6
96370115,Rango,Rango,2011,1,6,14,2,2,3,4,7,246,6
74690115,Marley and Me,Marley & Me,2008,1,2,3,4,4,3,4,7,244,6
61940115,Journey 3-D,Journey to the Center of the Earth,2008,1,8,3,4,2,3,4,7,241,6
49210115,Gullivers Travels (2010),Gulliver's Travels,2010,1,4,3,1,4,3,4,7,239,6
45420115,Ghost Rider,Ghost Rider,2007,1,9,1,4,1,3,5,7,238,6
138070115,Dark Shadows,Dark Shadows,2011,1,4,12,4,3,3,5,7,237,6
135720115,"Girl with the Dragon Tattoo, The",The Girl with the Dragon Tattoo,2011,1,1,3,4,12,3,6,7,233,6
28270115,"Day the Earth Stood Still, The",The Day the Earth Stood Still,2008,1,8,15,4,2,3,5,7,233,6
62420115,Juno,Juno,2007,1,1,14,4,4,3,5,1,231,6
79880115,Mr. Beans Holiday,Mr. Bean's Holiday,2007,2,1,12,4,4,3,1,7,230,6
45210115,Get Smart,Get Smart,2008,1,1,12,4,4,3,5,7,229,6
48480115,"Green Hornet, The",The Green Hornet,2010,1,9,12,4,1,3,5,7,228,6
130860115,Yes Man,Yes Man,2008,1,1,3,4,4,3,5,7,226,6
90310115,Percy Jackson and the Lightning Thief,Percy Jackson & the Olympians: The Lightning Thief,2010,1,4,3,4,2,3,4,7,226,6
114940115,Taken,Taken,2009,1,1,14,4,12,3,5,7,225,6
59990115,Its Complicated,It's Complicated,2009,1,1,14,4,11,3,6,7,225,6
108340115,"Social Network, The",The Social Network,2010,1,2,8,4,7,3,5,7,225,6
62310115,Jumper,Jumper,2008,1,8,3,4,2,3,5,7,223,6
48490115,Green Lantern,Green Lantern,2011,1,9,1,1,1,3,5,7,222,6
64970115,Knocked Up,Knocked Up,2007,1,1,14,4,11,3,6,7,219,6
127130115,What Happens in Vegas,What Happens in Vegas...,2008,1,1,14,4,11,3,5,7,219,6
10760115,Bedtime Stories,Bedtime Stories,2008,1,4,14,4,4,3,4,7,218,6
123660115,Valentines Day,Valentine's Day,2009,1,1,14,4,11,3,5,7,218,6
136360115,Bad Teacher,Bad Teacher,2011,1,1,14,4,4,3,6,7,216,6
31550115,District 9,District 9,2009,1,8,14,1,12,3,6,7,215,6
139190115,Horrible Bosses,Horrible Bosses,2010,1,1,14,4,4,3,6,7,215,6
139330115,Just Go With It,Just Go With It,2010,1,1,14,4,11,3,5,7,215,6
109130115,"Sorcerers Apprentice, The",The Sorcerer's Apprentice,2010,1,4,9,1,2,3,4,7,215,6
33870115,Due Date,Due Date,2010,1,1,14,4,4,3,6,7,212,6
10190115,Battle: Los Angeles,Battle: Los Angeles,2010,1,8,14,4,1,3,5,7,212,6
94750115,Public Enemies,Public Enemies,2009,1,2,3,4,7,3,6,7,210,6
135360115,Immortals,Immortals,2011,1,4,4,4,1,3,6,7,210,6
140600115,Help The,The Help,2010,1,5,3,4,7,3,5,7,209,6
144570115,Safe House,Safe House,2011,1,1,14,4,12,3,6,7,209,6
149030115,Paranormal Activity 3,Paranormal Activity 3,2011,2,4,14,4,8,3,6,7,207,6
7850115,Australia,Australia,2008,1,5,14,4,7,3,5,7,207,6
134180115,Eat Pray Love,Eat Pray Love,2010,1,1,2,4,7,3,6,7,206,6
122050115,"Ugly Truth, The",The Ugly Truth,2009,1,1,14,4,11,3,6,7,205,6
49680115,Hairspray (2007),Hairspray,2007,1,5,15,4,10,3,4,7,203,6
136150115,21 Jump Street,21 Jump Street,2011,1,1,12,4,4,3,6,7,202,6
131090115,You Don t Mess With the Zohan,You Don't Mess With the Zohan,2008,1,1,14,4,4,3,5,7,202,6
130970115,Yogi Bear 3D,Yogi Bear 3D,2010,1,6,12,1,2,3,4,7,202,6
123690115,Valkyrie,Valkyrie,2008,1,2,8,4,12,3,5,7,199,6
44230115,Gake no ue no Ponyo,Gake no ue no Ponyo,2009,1,6,14,3,2,10,1,7,199,6
145710115,Vow The,The Vow,2011,1,5,8,4,7,3,5,7,197,6
136730115,Red (2010),Red,2010,1,1,1,4,1,3,5,7,196,6
11370115,Beowulf,Beowulf,2007,1,4,3,2,2,3,5,7,195,6
89340115,Paranormal Activity,Paranormal Activity,2009,1,4,14,4,8,3,6,4,194,6
46310115,Gnomeo and Juliet,Gnomeo and Juliet,2010,1,4,7,2,4,3,1,7,191,6
146260115,Mr Poppers Penguins,Mr. Poppers's Penguins,2010,1,6,3,4,2,3,4,7,190,6
163420115,Miserables Les,Les Miserables,2011,1,5,3,4,10,3,5,7,189,6
120650115,Tropic Thunder,Tropic Thunder,2008,1,1,14,4,4,3,6,7,188,6
154360115,Hop,Hop,2011,1,6,4,1,4,3,4,7,188,6
65000115,Knowing,Knowing,2009,1,1,3,4,12,3,5,7,188,6
40050115,Final Destination 4,The Final Destination,2009,2,4,14,4,8,3,6,7,187,6
56560115,I Now Pronounce You Chuck and Larry,I Now Pronounce You Chuck and Larry,2007,1,1,14,4,4,3,5,7,186,6
126150115,Watchmen,Watchmen,2009,1,9,1,4,1,3,6,7,184,6
89910115,Paul Blart: Mall Cop,Paul Blart: Mall Cop,2009,1,1,14,4,4,3,4,7,182,6
145020115,Dictator The,The Dictator,2011,1,1,14,4,4,3,6,7,179,6
34180115,Eagle Eye,Eagle Eye,2008,1,1,14,4,12,3,5,7,178,6
52640115,Hes Just Not That Into You,He's Just Not That Into You,2009,1,1,3,4,11,3,5,7,178,6
89350115,Paranormal Activity 2,Paranormal Activity 2,2010,2,4,14,4,8,3,6,7,178,6
1570115,"A-Team, The",The A-Team,2010,1,1,12,4,1,3,5,7,177,6
25440115,Cowboys and Aliens,Cowboys and Aliens,2011,1,8,1,4,1,3,5,7,176,6
17390115,"Bucket List, The",The Bucket List,2007,1,1,14,4,4,3,5,2,174,5
36660115,Evan Almighty,Evan Almighty,2007,2,4,14,4,4,3,4,7,173,5
140740115,Jackass 3D,Jackass 3D,2010,2,3,12,4,4,3,6,7,172,5
25280115,Couples Retreat,Couples Retreat,2009,1,1,14,4,4,3,5,7,172,5
138120115,Descendants The,The Descendants,2010,1,1,3,4,7,3,6,4,172,5
